match_name|player_name|score
HUAWEI INVESTMENT & HOLDING CO., LTD.|Nsero Investment|77
|NSIA AGCI|-1
BOON RAWD TRADING CO LTD|NT Okawa Trading CC|65
|Nu Tread|-1
|NUTV|-1
|Nuvia|-1
|Oasis Kazakhstan|-1
|Obilet|-1
|Octonion|-1
STATE GRID LIAONING ELECTRIC POWER SUPPLY CO., LTD.|Off Grid Electric Ltd|89
GCAP CO LTD|OGPL|53
|OK Xueche|-1
VIETTEL GROUP|OKIL Group|70
|Omniacom|-1
TECH-COM (SHANGHAI) COMPUTER CO., LTD.|On Tech|73
|Oncologie Diagnostic Maroc_ODM|-1
SIG SIA|Opus Sign|62
CRRC GROUP CO., LTD.|Oragroup|56
|Orca|-1
|Oriard|-1
ORIENT OVERSEAS (INTERNATIONAL) LIMITED|Orient Ltd|75
|Orion Cleaning|-1
|OSG|-1
TENCENT HOLDINGS LIMITED|Other holdings|73
FIH MOBILE LIMITED|Other Listed|53
|Outschool|-1
|Oxus Tajikistan|-1
|P2K homebuilding|-1
GCAP CO LTD|Pac Comm SL|55
CATHAY PACIFIC AIRWAYS LIMITED|Pacific Meinouke|61
|Pajah|-1
|Paladippsa|-1
|Pangea Diamonds|-1
SODIMAC SA|Papa Sola|53
ENEL BRASIL S.A|Parallels|58
|Parasut|-1
CV PROTEK FIRM|Park Cafe|52
|Paysense|-1
|Paystream|-1
|Penkon|-1
ACCENTURE SOLUTIONS PRIVATE LIMITED|People Productivity Solution PPS|54
|Peoplise|-1
TRINA SOLAR CO., LTD.|Petrolatina|55
|PFT|-1
|Pharmacie Rako|-1
|PHESI|-1
|Photomath|-1
|Phyma Fresh Prod|-1
VIETTEL GROUP|Picsel Group|72
VIETTEL GROUP|Pinetree Group|74
BYD AUTO CO., LTD.|Planet Pty Ltd|55
JOINT-STOCK COMPANY VTB CAPITAL|Planor Capital|67
SHANGTEX HOLDING CO., LTD.|PlayCo Holding ltd Startzplay|65
|Plum|-1
|Plumblink|-1
|PM Homes|-1
|Poly Taoufik|-1
|Polymeres|-1
|Pomelo|-1
|Popshop|-1
|Popshop|-1
|Popular (PPL)|-1
|Porini|-1
HEXING GROUP SUZHOU HEYI ELECTRONIC CO., LTD.|Precise Suzhou|60
|Prestanic|-1
|Pride Tanzania|-1
|Primedia|-1
|Primedic|-1
|Primoyre Fishing Project|-1
|Proambi|-1
PETROLEOS MEXICANOS|Project 8ins|52
CV PROTEK FIRM|Project ACF|56
"PJSC ""AEROFLOT"""|Project Arrow|54
|Project Bloks|-1
|Project GTel|-1
|Project Pink|-1
GAZPROMNEFT - TSENTR|Promed SPRL|55
CV PROTEK FIRM|Promedis & CMLIM|57
ENERGORINOK DP|Prominox|55
|Pronet|-1
|Pronto!|-1
|Propalma|-1
|ProSky|-1
|Provus Romania|-1
|PT Cipta Retail Prakarsa|-1
DENTSPLY INTERNATIONAL INC.|PT Mount Scopus International|67
DENTSPLY INTERNATIONAL INC.|PT Mount Scopus International|67
|PT. IBS|-1
|PTT Family F&B Singapore|-1
|PYYX|-1
|QFI|-1
|Qiakr|-1
|QILI|-1
|QSR|-1
|QTVT|-1
|Quick Print|-1
|RaceGame|-1
|Ramanas|-1
|Rameda|-1
|Rancher Labs|-1
|RDIL|-1
|RE Connect|-1
|Ready Planet|-1
GLENCORE CHINA LTD.|Red Cap DevCo|58
|RedDoorz|-1
|REDI Platform|-1
|Reef Hout|-1
|Regimanuel|-1
LLC GAZPROMNEFT REGIONAL SALES|Regional Cellula|67
HCL COMNET LIMITED|Reliable Concret|53
|Rentandes|-1
|Restaurant 3 Sty|-1
|Reva Drilling|-1
|Revive|-1
|Rhobomile|-1
|Rhythm Image Media|-1
|Ribquark|-1
|Richcore|-1
|Riggs Ventire  WA|-1
|Rinac|-1
|riskdata|-1
FLOWINVEST CIA SECURITIZADORA|River Security|51
|Riziki Kimilili|-1
RGL GROUP CO., LTD.|RMG Concept|52
|Robby|-1
|Robins Park|-1
|Robinson|-1
ARCELORMITTAL POLAND S.A.|Rocklands Mills|51
|RomHldg-DragnStr|-1
|RomRealEstate|-1
|Rotomag|-1
|Rqubed|-1
|RTV|-1
|Sachal Radio|-1
XIAMEN AIRLINES|Samuel Filimoni|53
SANDS CHINA LTD|Sansa Art|58
|Sapala|-1
JOINT-STOCK COMPANY VTB CAPITAL|Sara Capital|74
|SAT|-1
|Satin|-1
LIMITED LIABILITY COMPANY CREDIT SUISSE SECURITIES (MOSCOW)|Satin Credit|67
|Savcio|-1
CLARO S.A.|Save-A-Lot|63
FCA POLAND S.A.|SC Auto Africa|57
SAMSONITE INTERNATIONAL S.A.|Scitum Integraio|56
|Scoutible|-1
|SDL - Sabuni|-1
|Senbus|-1
|Sensity|-1
|Sensoro|-1
HUAWEI INVESTMENT & HOLDING CO., LTD.|Serve Investment|77
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO|Servicios Caset|75
HUAWEI INVESTMENT & HOLDING CO., LTD.|Setcar holding LTD|76
HUAWEI INVESTMENT & HOLDING CO., LTD.|Setcar holding LTD|76
LI & FUNG LIMITED|Setfin Cash Intransit Limited|64
|Seven Oceans Fish Processing|-1
|SFC Africa|-1
SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD|Shanghai Kelaibo|67
PRIME FOCUS WORLD CREATIVE SERVICES PRIVATE LIMITED|Shared Services|70
|Sharekhan|-1
|SHB|-1
|Shearwater|-1
SHOUGANG CORPORATION|Shiguang Caibei|57
SINOPEC SALES CO., LTD.|Shop Clues|53
|SiberianNetworks|-1
SODIMAC SA|SIC (Shams)|63
|Sideco Printing|-1
|Sierra Lighthous|-1
TECH-COM (SHANGHAI) COMPUTER CO., LTD.|Siim Tech|62
|Silkroute|-1
|Silvan|-1
|Sinemia|-1
|Sino-Agri Bio|-1
|SinowayCosmetics|-1
SODIMAC SA|SIRAC SA|78
|SITUSA|-1
|Sixup|-1
|Skard Special Needs Support|-1
|SKE|-1
CLARO S.A.|Sky Atlas|56
|Skye CAPIC|-1
|SlimSun|-1
|Smagars|-1
|SMI - Q|-1
|Snabizz|-1
CLARO S.A.|SoarOS|53
|SODEP|-1
|Sogetra SPRL|-1
|SoGood|-1
ANBANG PROPERTY & CASUALTY INSURANCE CO., LTD.|SOK Insurance|82
|SOLARIC|-1
|Sosyo Insider|-1
|Southey|-1
|Southey|-1
|Southgate|-1
|Space Monkey|-1
|Spaces|-1
|Spaceship|-1
|Spandana|-1
KERRY LOGISTICS NETWORK LIMITED|Sport et Loisirs|51
|Sportz Village|-1
|Spykar|-1
GREENTOWN REAL ESTATE GROUP CO., LTD.|SQ Real Estate|88
|SRLL|-1
TECH-COM (SHANGHAI) COMPUTER CO., LTD.|SSD Tech|67
|Starman|-1
