original_name|country_code|mapped_name|mapping_score
Lincoln Lub|ZA|LINCOLNLEE (PTY) LTD|scoreB
Linetrale|NG|LINETRALE GAS|scoreB
LinkDoc|CN||
LittleBits|US|LITTLE BITS|scoreA
Live Ad|KE|LIVECARD LIMITED|scoreE
Livspace|IN||
Lufax|CN||
LunchOn|AE||
Lymex Hldgs|RU||
M  K Property Management|NA|FLK PROPERTY MANAGEMENT CC|scoreB
M Star Melchers|MN||
M&E Leasing|LR||
MA Herimalala|MG||
Mabtech|CN||
Madaltax|KE||
Madame Figaro|RU|MADAME PIAT|scoreE
Magnesita|BR|MAGNESITA SA|scoreA
Maize Milling|SL||
MakeSchool|WLD|MAKEGAMESWITHUS INC (Alias: MAKE SCHOOL)|scoreA
Malucelli|BR|J. MALUCELLI CONSTRUTORA DE OBRAS S/A (Alias: J MALUCELLI)|scoreB
Mango Ad Agency|MW||
